iso,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MDG,450395,462206,474813,488073,501883,516211,531046,546264,561655,576959,591805,605819,618821,630738,641576,651459,660629,669459,678284,687298,696565,706031,715601,725279,735204,745627,756830,768975,782127,796263,811295,827057,843249
MWI,381874,395514,407760,418053,426213,432278,436583,439933,443096,446542,450706,455876,462050,469210,477420,486832,497555,509349,521818,534534,546846,558061,567762,575725,581910,586398,589461,591766,594003,596675,600365,605554,612328
MYS,472182,478499,484946,491745,498869,506349,514151,521874,528967,534891,538606,538998,535730,528975,519273,507714,495723,484811,476193,470524,468116,468779,471563,475596,480476,485918,491774,497956,504279,510430,516103,521065,525219
MDV,9065,9219,9305,9325,9277,9158,8962,8697,8378,8022,7644,7261,6888,6545,6252,6033,5908,5875,5927,6054,6243,6473,6719,6954,7161,7324,7435,7500,7524,7509,7456,7370,7259
MLI,381099,386960,393291,400246,407920,416345,425480,435230,445535,456411,467924,480169,493196,507012,521578,536919,553063,569881,587150,604608,621899,638662,654676,669802,683974,697189,709549,721365,732963,744569,756412,768670,781405
MLT,5495,5502,5505,5495,5468,5422,5362,5293,5219,5140,5051,4946,4822,4681,4527,4369,4219,4088,3982,3907,3863,3849,3856,3876,3906,3943,3987,4036,4089,4143,4195,4241,4280
MRT,74647,76158,77628,79061,80468,81879,83326,84845,86465,88201,90057,92025,94084,96214,98412,100677,103012,105423,107914,110486,113156,115946,118852,121853,124913,127978,130985,133888,136652,139262,141719,144044,146286
MUS,20578,20912,21329,21726,22050,22260,22332,22290,22156,21939,21660,21345,21022,20705,20399,20094,19765,19389,18952,18455,17905,17316,16712,16118,15554,15035,14575,14173,13828,13540,13309,13130,12992
MEX,2390545,2400822,2409632,2415759,2418731,2418449,2415295,2410302,2404389,2397988,2391501,2385180,2378932,2372632,2366240,2359342,2351367,2342068,2331543,2320204,2309140,2299717,2292791,2288657,2287020,2286867,2286702,2284947,2280459,2272826,2262162,2249122,2234906
FSM,3204,3228,3245,3261,3279,3299,3323,3348,3371,3390,3399,3396,3377,3341,3290,3223,3142,3053,2960,2869,2782,2706,2640,2587,2547,2520,2506,2501,2503,2509,2520,2533,2549
